ano,sigla_uf,id_municipio,produto,area_plantada,area_colhida,quantidade_produzida,rendimento_medio,valor_producao,prop_area_plantada,prop_area_colhida,prop_valor_producao
2010,DF,5300108,Abacate,111,105,2415,23000,2658,4.39,4.57,6.13
2010,DF,5300108,Algodão arbóreo (em caroço),,,,,,,,
2010,DF,5300108,Açaí,,,,,,,,
2010,DF,5300108,Azeitona,,,,,,,,
2010,DF,5300108,Banana (cacho),203,181,3915,21629,3793,8.03,7.87,8.74
2010,DF,5300108,Borracha (látex coagulado),,,,,,,,
2010,DF,5300108,Borracha (látex líquido),,,,,,,,
2010,DF,5300108,Cacau (em amêndoa),,,,,,,,
2010,DF,5300108,Café (em grão) Total,1000,935,1052,1125,3156,39.56,40.67,7.28
2010,DF,5300108,Café (em grão) Arábica,,,,,,,,
2010,DF,5300108,Café (em grão) Canephora,,,,,,,,
2010,DF,5300108,Caju,,,,,,,,
2010,DF,5300108,Caqui,,,,,,,,
2010,DF,5300108,Castanha de caju,,,,,,,,
2010,DF,5300108,Chá-da-índia (folha verde),,,,,,,,
2010,DF,5300108,Coco-da-baía,,,,,,,,
2010,DF,5300108,Dendê (cacho de coco),,,,,,,,
2010,DF,5300108,Erva-mate (folha verde),,,,,,,,
2010,DF,5300108,Figo,2,1,5,5000,30,0.08,0.04,0.07
2010,DF,5300108,Goiaba,234,224,8212,36660,13278,9.26,9.74,30.61
2010,DF,5300108,Guaraná (semente),,,,,,,,
2010,DF,5300108,Laranja,207,166,4006,24132,2323,8.19,7.22,5.36
2010,DF,5300108,Limão,251,225,5667,25186,6233,9.93,9.79,14.37
2010,DF,5300108,Maçã,,,,,,,,
2010,DF,5300108,Mamão,4,3,75,25000,61,0.16,0.13,0.14
2010,DF,5300108,Manga,72,72,960,13333,1656,2.85,3.13,3.82
2010,DF,5300108,Maracujá,206,179,3167,17692,5668,8.15,7.79,13.07
2010,DF,5300108,Marmelo,,,,,,,,
2010,DF,5300108,Noz (fruto seco),,,,,,,,
2010,DF,5300108,Palmito,,,,,,,,
2010,DF,5300108,Pera,,,,,,,,
2010,DF,5300108,Pêssego,,,,,,,,
2010,DF,5300108,Pimenta-do-reino,,,,,,,,
2010,DF,5300108,Sisal ou agave (fibra),,,,,,,,
2010,DF,5300108,Tangerina,167,144,2890,20069,811,6.61,6.26,1.87
2010,DF,5300108,Tungue (fruto seco),,,,,,,,
2010,DF,5300108,Urucum (semente),6,6,6,1000,10,0.24,0.26,0.02
2010,DF,5300108,Uva,65,58,1289,22224,3699,2.57,2.52,8.53
2010,AP,1600055,Abacate,,,,,,,,
2010,AP,1600055,Algodão arbóreo (em caroço),,,,,,,,
2010,AP,1600055,Açaí,,,,,,,,
2010,AP,1600055,Azeitona,,,,,,,,
2010,AP,1600055,Banana (cacho),74,74,418,5648,522,64.91,64.91,70.35
2010,AP,1600055,Borracha (látex coagulado),,,,,,,,
2010,AP,1600055,Borracha (látex líquido),,,,,,,,
2010,AP,1600055,Cacau (em amêndoa),,,,,,,,
2010,AP,1600055,Café (em grão) Total,,,,,,,,
2010,AP,1600055,Café (em grão) Arábica,,,,,,,,
2010,AP,1600055,Café (em grão) Canephora,,,,,,,,
2010,AP,1600055,Caju,,,,,,,,
2010,AP,1600055,Caqui,,,,,,,,
2010,AP,1600055,Castanha de caju,,,,,,,,
2010,AP,1600055,Chá-da-índia (folha verde),,,,,,,,
2010,AP,1600055,Coco-da-baía,,,,,,,,
2010,AP,1600055,Dendê (cacho de coco),,,,,,,,
2010,AP,1600055,Erva-mate (folha verde),,,,,,,,
2010,AP,1600055,Figo,,,,,,,,
2010,AP,1600055,Goiaba,,,,,,,,
2010,AP,1600055,Guaraná (semente),,,,,,,,
2010,AP,1600055,Laranja,40,40,240,6000,220,35.09,35.09,29.65
2010,AP,1600055,Limão,,,,,,,,
2010,AP,1600055,Maçã,,,,,,,,
2010,AP,1600055,Mamão,,,,,,,,
2010,AP,1600055,Manga,,,,,,,,
2010,AP,1600055,Maracujá,,,,,,,,
2010,AP,1600055,Marmelo,,,,,,,,
2010,AP,1600055,Noz (fruto seco),,,,,,,,
2010,AP,1600055,Palmito,,,,,,,,
2010,AP,1600055,Pera,,,,,,,,
2010,AP,1600055,Pêssego,,,,,,,,
2010,AP,1600055,Pimenta-do-reino,,,,,,,,
2010,AP,1600055,Sisal ou agave (fibra),,,,,,,,
2010,AP,1600055,Tangerina,,,,,,,,
2010,AP,1600055,Tungue (fruto seco),,,,,,,,
2010,AP,1600055,Urucum (semente),,,,,,,,
2010,AP,1600055,Uva,,,,,,,,
2010,AP,1600105,Abacate,,,,,,,,
2010,AP,1600105,Algodão arbóreo (em caroço),,,,,,,,
2010,AP,1600105,Açaí,,,,,,,,
2010,AP,1600105,Azeitona,,,,,,,,
2010,AP,1600105,Banana (cacho),28,28,132,4714,165,52.83,52.83,48.96
2010,AP,1600105,Borracha (látex coagulado),,,,,,,,
2010,AP,1600105,Borracha (látex líquido),,,,,,,,
2010,AP,1600105,Cacau (em amêndoa),,,,,,,,
2010,AP,1600105,Café (em grão) Total,,,,,,,,
2010,AP,1600105,Café (em grão) Arábica,,,,,,,,
2010,AP,1600105,Café (em grão) Canephora,,,,,,,,
2010,AP,1600105,Caju,,,,,,,,
2010,AP,1600105,Caqui,,,,,,,,
2010,AP,1600105,Castanha de caju,,,,,,,,
2010,AP,1600105,Chá-da-índia (folha verde),,,,,,,,
2010,AP,1600105,Coco-da-baía,,,,,,,,
2010,AP,1600105,Dendê (cacho de coco),,,,,,,,
2010,AP,1600105,Erva-mate (folha verde),,,,,,,,
2010,AP,1600105,Figo,,,,,,,,
2010,AP,1600105,Goiaba,,,,,,,,
2010,AP,1600105,Guaraná (semente),,,,,,,,
2010,AP,1600105,Laranja,25,25,150,6000,172,47.17,47.17,51.04
2010,AP,1600105,Limão,,,,,,,,
2010,AP,1600105,Maçã,,,,,,,,
2010,AP,1600105,Mamão,,,,,,,,
2010,AP,1600105,Manga,,,,,,,,
2010,AP,1600105,Maracujá,,,,,,,,
2010,AP,1600105,Marmelo,,,,,,,,
2010,AP,1600105,Noz (fruto seco),,,,,,,,
2010,AP,1600105,Palmito,,,,,,,,
2010,AP,1600105,Pera,,,,,,,,
2010,AP,1600105,Pêssego,,,,,,,,
2010,AP,1600105,Pimenta-do-reino,,,,,,,,
2010,AP,1600105,Sisal ou agave (fibra),,,,,,,,
2010,AP,1600105,Tangerina,,,,,,,,
2010,AP,1600105,Tungue (fruto seco),,,,,,,,
2010,AP,1600105,Urucum (semente),,,,,,,,
2010,AP,1600105,Uva,,,,,,,,
2010,AP,1600154,Abacate,,,,,,,,
2010,AP,1600154,Algodão arbóreo (em caroço),,,,,,,,
2010,AP,1600154,Açaí,,,,,,,,
2010,AP,1600154,Azeitona,,,,,,,,
2010,AP,1600154,Banana (cacho),159,159,720,4528,864,70.98,70.98,57.91
2010,AP,1600154,Borracha (látex coagulado),,,,,,,,
2010,AP,1600154,Borracha (látex líquido),,,,,,,,
2010,AP,1600154,Cacau (em amêndoa),,,,,,,,
2010,AP,1600154,Café (em grão) Total,,,,,,,,
2010,AP,1600154,Café (em grão) Arábica,,,,,,,,
2010,AP,1600154,Café (em grão) Canephora,,,,,,,,
2010,AP,1600154,Caju,,,,,,,,
2010,AP,1600154,Caqui,,,,,,,,
2010,AP,1600154,Castanha de caju,,,,,,,,
2010,AP,1600154,Chá-da-índia (folha verde),,,,,,,,
2010,AP,1600154,Coco-da-baía,,,,,,,,
2010,AP,1600154,Dendê (cacho de coco),,,,,,,,
2010,AP,1600154,Erva-mate (folha verde),,,,,,,,
2010,AP,1600154,Figo,,,,,,,,
2010,AP,1600154,Goiaba,,,,,,,,
2010,AP,1600154,Guaraná (semente),,,,,,,,
2010,AP,1600154,Laranja,65,65,635,9769,628,29.02,29.02,42.09
2010,AP,1600154,Limão,,,,,,,,
2010,AP,1600154,Maçã,,,,,,,,
2010,AP,1600154,Mamão,,,,,,,,
2010,AP,1600154,Manga,,,,,,,,
2010,AP,1600154,Maracujá,,,,,,,,
2010,AP,1600154,Marmelo,,,,,,,,
2010,AP,1600154,Noz (fruto seco),,,,,,,,
2010,AP,1600154,Palmito,,,,,,,,
2010,AP,1600154,Pera,,,,,,,,
2010,AP,1600154,Pêssego,,,,,,,,
2010,AP,1600154,Pimenta-do-reino,,,,,,,,
2010,AP,1600154,Sisal ou agave (fibra),,,,,,,,
2010,AP,1600154,Tangerina,,,,,,,,
2010,AP,1600154,Tungue (fruto seco),,,,,,,,
2010,AP,1600154,Urucum (semente),,,,,,,,
2010,AP,1600154,Uva,,,,,,,,
2010,AP,1600204,Abacate,,,,,,,,
2010,AP,1600204,Algodão arbóreo (em caroço),,,,,,,,
2010,AP,1600204,Açaí,,,,,,,,
2010,AP,1600204,Azeitona,,,,,,,,
2010,AP,1600204,Banana (cacho),68,68,232,3411,313,46.9,47.55,37.09
2010,AP,1600204,Borracha (látex coagulado),,,,,,,,
2010,AP,1600204,Borracha (látex líquido),,,,,,,,
2010,AP,1600204,Cacau (em amêndoa),,,,,,,,
